method,seed,time_s,avg_acc,final_acc_all,bwt,forgetting,detection_delay,total_bits,final_grid,params,n_classes,in_dim,T
sefedkan,0,52.8,0.2797309027777778,0.2265625,0.15482954545454544,0.44779829545454547,1.5,325969088.0,9,22360,11,256,136
sefedkan,1,48.2,0.21545862268518517,0.24609375,0.13636363636363635,0.28870738636363635,1.75,322498592.0,9,22360,11,256,136
sefedkan,2,47.7,0.2722439236111111,0.21875,0.10582386363636363,0.3430397727272727,2.125,274743392.0,9,22360,11,256,136
sefedkan,3,44.9,0.3238570601851852,0.28125,0.2002840909090909,0.29332386363636365,1.625,338286112.0,9,22360,11,256,136
sefedkan,4,47.8,0.2849392361111111,0.1953125,0.12571022727272727,0.24431818181818182,1.625,282448768.0,9,22360,11,256,136
fedkan_static,0,46.7,0.28530092592592593,0.25,0.19992897727272727,0.38920454545454547,1.5,767457280.0,5,20120,11,256,136
fedkan_static,1,48.6,0.25264033564814814,0.25390625,0.14524147727272727,0.3231534090909091,1.875,755868160.0,5,20120,11,256,136
fedkan_static,2,48.7,0.2755714699074074,0.26171875,0.13103693181818182,0.34907670454545453,1.875,757155840.0,5,20120,11,256,136
fedkan_static,3,45.1,0.31495949074074076,0.26953125,0.20099431818181818,0.26171875,1.75,715950080.0,5,20120,11,256,136
fedkan_static,4,46.8,0.3195529513888889,0.25,0.1573153409090909,0.2723721590909091,1.625,746854400.0,5,20120,11,256,136
fedkan_dual,0,47.2,0.2525679976851852,0.203125,0.10795454545454546,0.4289772727272727,1.875,214037536.0,9,22360,11,256,136
fedkan_dual,1,46.5,0.20594618055555555,0.203125,0.0859375,0.48401988636363635,1.625,210702112.0,9,22360,11,256,136
fedkan_dual,2,48.6,0.2607421875,0.1171875,0.046875,0.39417613636363635,1.75,210101920.0,9,22360,11,256,136
fedkan_dual,3,47.3,0.2638888888888889,0.2265625,0.15767045454545456,0.2858664772727273,1.75,199414432.0,9,22360,11,256,136
fedkan_dual,4,46.6,0.2670355902777778,0.203125,0.09907670454545454,0.3132102272727273,1.625,208090304.0,9,22360,11,256,136
fedkan_no_pseudo,0,45.0,0.2867838541666667,0.26953125,0.2041903409090909,0.35120738636363635,1.5,307365536.0,9,22360,11,256,136
fedkan_no_pseudo,1,44.3,0.21278211805555555,0.1328125,0.060014204545454544,0.4190340909090909,2.125,311765792.0,9,22360,11,256,136
fedkan_no_pseudo,2,44.5,0.27900752314814814,0.12890625,0.044744318181818184,0.43323863636363635,2.125,284224064.0,9,22360,11,256,136
fedkan_no_pseudo,3,41.5,0.3062427662037037,0.21875,0.13991477272727273,0.38920454545454547,1.625,340432704.0,9,22360,11,256,136
fedkan_no_pseudo,4,43.8,0.28052662037037035,0.1796875,0.10866477272727272,0.28941761363636365,1.75,283164288.0,9,22360,11,256,136
fedkan_no_evolve,0,46.6,0.27824797453703703,0.26171875,0.19957386363636365,0.36683238636363635,1.625,284899264.0,5,20120,11,256,136
fedkan_no_evolve,1,45.8,0.21983506944444445,0.24609375,0.10617897727272728,0.3973721590909091,1.625,267032736.0,5,20120,11,256,136
fedkan_no_evolve,2,45.7,0.2507957175925926,0.21484375,0.08913352272727272,0.35014204545454547,2.0,267837440.0,5,20120,11,256,136
fedkan_no_evolve,3,44.0,0.27904369212962965,0.20703125,0.13032670454545456,0.3405539772727273,1.75,268159392.0,5,20120,11,256,136
fedkan_no_evolve,4,46.8,0.27882667824074076,0.21484375,0.13742897727272727,0.22478693181818182,1.625,269608160.0,5,20120,11,256,136
fedavg_mlp,0,20.7,0.33177806712962965,0.3046875,0.22514204545454544,0.46875,1.5,767876864.0,0,20131,11,256,136
fedavg_mlp,1,20.4,0.27455873842592593,0.23828125,0.13139204545454544,0.5060369318181818,1.75,756281408.0,0,20131,11,256,136
fedavg_mlp,2,20.6,0.29369212962962965,0.2734375,0.15447443181818182,0.42613636363636365,2.125,757569792.0,0,20131,11,256,136
fedavg_mlp,3,19.7,0.3156105324074074,0.30859375,0.21875,0.3799715909090909,1.75,716341504.0,0,20131,11,256,136
fedavg_mlp,4,20.4,0.3326461226851852,0.24609375,0.17258522727272727,0.4094460227272727,1.625,747262720.0,0,20131,11,256,136
fedprox_mlp,0,25.8,0.33329716435185186,0.2734375,0.19921875,0.5056818181818182,1.5,767876864.0,0,20131,11,256,136
fedprox_mlp,1,26.1,0.27828414351851855,0.26953125,0.16867897727272727,0.6157670454545454,1.75,756281408.0,0,20131,11,256,136
fedprox_mlp,2,25.7,0.2965494791666667,0.25,0.13813920454545456,0.4229403409090909,1.875,757569792.0,0,20131,11,256,136
fedprox_mlp,3,24.5,0.34425636574074076,0.23828125,0.16548295454545456,0.41832386363636365,1.625,716341504.0,0,20131,11,256,136
fedprox_mlp,4,25.4,0.3356119791666667,0.2578125,0.17613636363636365,0.3849431818181818,1.75,747262720.0,0,20131,11,256,136
