method,seed,time_s,avg_acc,bwt,forgetting,total_bits,final_grid,params,n_classes,in_dim,T
sefedkan,0,26.6,0.31246383101851855,0.280029296875,0.073974609375,124989472.0,13,9248,8,26,136
sefedkan,1,26.3,0.3653428819444444,0.260986328125,0.095458984375,142667264.0,13,9248,8,26,136
sefedkan,2,28.9,0.3678023726851852,0.21044921875,0.072509765625,116372544.0,13,9248,8,26,136
sefedkan,3,28.7,0.3642578125,0.25634765625,0.061767578125,127444032.0,13,9248,8,26,136
sefedkan,4,26.6,0.3501880787037037,0.27880859375,0.069091796875,131900448.0,13,9248,8,26,136
fedkan_static,0,24.6,0.2965133101851852,0.25537109375,0.0869140625,172965888.0,5,4896,8,26,136
fedkan_static,1,26.6,0.3522135416666667,0.22119140625,0.09912109375,185499648.0,5,4896,8,26,136
fedkan_static,2,26.1,0.3645833333333333,0.155029296875,0.08544921875,181739520.0,5,4896,8,26,136
fedkan_static,3,25.4,0.3424609375,0.253173828125,0.048828125,179232768.0,5,4896,8,26,136
fedkan_static,4,27.0,0.3331886574074074,0.2626953125,0.067138671875,182992896.0,5,4896,8,26,136
fedkan_dual,0,25.9,0.25394241898148145,0.252197265625,0.05322265625,74538592.0,13,9248,8,26,136
fedkan_dual,1,28.3,0.27839265046296297,0.234619140625,0.062744140625,78734016.0,13,9248,8,26,136
fedkan_dual,2,27.2,0.31061921296296297,0.152587890625,0.035888671875,82274592.0,13,9248,8,26,136
fedkan_dual,3,26.4,0.3051953125,0.244384765625,0.031494140625,82766400.0,13,9248,8,26,136
fedkan_dual,4,26.4,0.349609375,0.256591796875,0.06640625,83382560.0,13,9248,8,26,136
fedkan_no_pseudo,0,23.1,0.31394675925925924,0.282470703125,0.05908203125,115223584.0,13,9248,8,26,136
fedkan_no_pseudo,1,24.9,0.3846571180555556,0.289306640625,0.079833984375,142658592.0,13,9248,8,26,136
fedkan_no_pseudo,2,24.3,0.38158275462962965,0.2294921875,0.0634765625,115706720.0,13,9248,8,26,136
fedkan_no_pseudo,3,23.4,0.3822265625,0.2841796875,0.044189453125,122857024.0,13,9248,8,26,136
fedkan_no_pseudo,4,24.2,0.36635561342592593,0.259521484375,0.103271484375,127979296.0,13,9248,8,26,136
fedkan_no_evolve,0,24.9,0.24938512731481483,0.205810546875,0.1005859375,74027552.0,5,4896,8,26,136
fedkan_no_evolve,1,26.4,0.2943431712962963,0.23193359375,0.07958984375,72343328.0,5,4896,8,26,136
fedkan_no_evolve,2,26.0,0.32125289351851855,0.187744140625,0.07373046875,76573472.0,5,4896,8,26,136
fedkan_no_evolve,3,25.7,0.3026171875,0.26416015625,0.0283203125,79158560.0,5,4896,8,26,136
fedkan_no_evolve,4,26.5,0.28490306712962965,0.235107421875,0.09033203125,73244160.0,5,4896,8,26,136
fedavg_mlp,0,8.5,0.2670355902777778,0.194580078125,0.102294921875,173389824.0,0,4908,8,26,136
fedavg_mlp,1,8.6,0.31926359953703703,0.2041015625,0.112548828125,185954304.0,0,4908,8,26,136
fedavg_mlp,2,8.5,0.31937210648148145,0.173095703125,0.05908203125,182184960.0,0,4908,8,26,136
fedavg_mlp,3,8.4,0.3194140625,0.2060546875,0.048095703125,179672064.0,0,4908,8,26,136
fedavg_mlp,4,8.5,0.3078342013888889,0.14208984375,0.0830078125,183441408.0,0,4908,8,26,136
